ancho_cm,largo_m,peso_g_m2,proveedor,cubre_cierre,talla_prenda,prendas_totales
150,139.5,110,A,1,1,172
140,21.5,160,A,0,1,59
120,79.8,200,A,0,1,103
140,106.4,280,A,0,1,132
140,92.4,240,A,0,1,131
140,65.9,240,A,0,1,100
150,20.7,160,A,0,1,73
150,127.4,200,A,1,1,175
120,97.9,130,A,0,1,132
140,127.9,90,A,0,1,169
150,130.3,130,A,0,1,161
140,75.8,200,A,0,1,113
150,120.4,200,A,0,1,159
150,80.5,130,A,0,1,122
140,79.6,160,A,0,1,109
150,80.3,130,A,0,1,122
160,87.9,160,A,0,1,130
150,98.4,90,A,0,1,140
160,147.8,240,A,0,1,191
120,66.3,130,A,0,1,93
140,142.5,110,A,0,1,174
120,102.5,240,A,0,1,127
140,82.2,240,A,0,1,114
120,32.3,240,A,1,1,74
160,62.5,200,A,0,1,106
120,45.8,240,A,1,1,77
140,110.5,110,A,0,1,143
150,27.6,130,A,1,1,75
150,113.7,130,A,0,1,154
140,41.9,130,A,1,1,100
140,49.9,240,A,1,1,96
140,45.0,130,A,0,1,88
150,47.8,110,A,0,1,99
140,43.9,160,A,0,1,93
140,37.2,130,A,1,1,85
140,105.5,280,A,0,1,144
150,54.6,160,A,0,1,95
140,79.7,130,A,1,1,127
150,102.1,130,A,1,1,139
150,70.3,130,A,0,1,112
120,115.6,130,A,0,1,140
150,58.7,90,A,1,1,101
160,23.8,160,A,0,1,80
150,73.8,200,A,0,1,106
140,79.9,280,A,1,1,117
120,120.1,240,A,0,1,143
140,138.8,110,A,1,1,173
150,146.9,200,A,1,1,182
150,64.3,110,A,0,1,98
120,27.3,130,A,1,1,66
140,124.7,240,A,1,1,152
140,80.4,160,A,0,1,116
140,32.9,200,A,0,1,77
120,68.6,240,A,0,1,103
120,135.2,280,A,0,1,158
140,106.2,90,A,0,1,149
140,117.4,200,A,0,1,148
120,137.8,110,A,1,1,163
160,135.4,110,A,0,1,185
120,64.4,160,A,0,1,101
140,140.1,130,A,0,1,181
150,28.5,200,A,0,1,80
120,102.5,160,A,0,1,136
140,122.6,130,A,1,1,159
120,50.3,130,A,1,1,90
160,139.6,200,A,0,1,178
150,28.1,240,A,0,1,65
140,116.9,160,A,0,1,149
150,59.2,240,A,1,1,104
150,130.2,240,A,0,1,160
120,31.2,160,A,0,1,70
150,111.7,280,A,0,1,140
140,145.6,200,A,1,1,182
150,84.6,130,A,0,1,135
150,118.4,200,A,1,1,151
140,132.3,160,A,0,1,168
150,51.6,160,A,0,1,99
140,49.1,240,A,1,1,79
150,74.3,160,A,1,1,120
140,83.5,200,A,0,1,119
160,125.2,200,A,1,1,175
120,22.6,160,A,0,1,50
140,31.2,200,A,0,1,78
140,50.7,200,A,0,1,91
140,36.6,130,A,1,1,84
160,42.8,320,A,1,1,96
160,79.0,90,A,1,1,132
120,21.4,160,A,0,1,65
160,68.7,160,A,0,1,113
150,48.4,130,A,1,1,93
140,147.4,200,A,0,1,173
140,90.1,160,A,1,1,123
150,103.7,130,A,0,1,137
150,79.1,280,A,0,1,114
150,25.2,200,A,0,1,72
140,86.6,160,A,1,1,119
140,65.5,160,A,0,1,112
150,28.0,90,A,0,1,81
160,48.6,160,A,0,1,90
160,137.3,160,A,1,1,169
150,67.9,200,A,0,1,110
140,149.2,160,A,0,1,180
140,69.6,240,A,0,1,111
150,78.8,130,A,0,1,127
150,38.8,160,A,0,1,89
140,113.6,130,A,0,1,138
140,76.2,160,A,0,1,117
160,90.3,280,A,0,1,135
120,65.1,160,A,0,1,87
120,99.7,110,A,0,1,123
160,133.1,90,A,1,1,170
120,101.1,240,A,0,1,124
150,52.3,160,A,0,1,89
140,149.7,200,A,0,1,174
140,109.6,130,A,0,1,151
140,145.9,280,A,0,1,179
140,57.0,90,A,0,1,103
160,114.2,240,A,0,1,151
140,147.5,280,A,0,1,180
150,42.2,280,A,0,1,86
150,52.0,110,A,0,1,98
140,110.8,200,A,0,1,140
160,44.9,160,A,0,1,93
120,104.9,200,A,0,1,130
160,34.7,200,A,0,1,84
120,32.9,160,A,1,1,66
150,109.9,160,A,0,1,151
150,90.4,200,A,0,1,137
140,82.9,200,A,0,1,109
160,40.8,130,A,0,1,99
140,22.2,160,A,0,1,64
120,69.4,130,A,0,1,105
120,39.8,240,A,0,1,62
140,80.1,110,A,0,1,118
160,94.8,130,A,0,1,139
120,96.2,240,A,0,1,117
150,137.9,160,A,1,1,180
150,42.0,130,A,0,1,89
150,82.1,160,A,0,1,125
120,47.5,160,A,1,1,89
120,78.6,160,A,0,1,110
140,99.3,110,A,0,1,129
140,98.9,200,A,0,1,132
160,62.3,160,A,1,1,112
120,53.8,160,A,0,1,91
160,148.3,280,A,0,1,180
140,104.5,160,A,0,1,126
140,39.3,90,A,0,1,87
150,120.7,130,A,0,1,146
140,96.5,200,A,0,1,136
150,73.7,160,A,0,1,120
150,143.1,200,A,0,1,172
140,61.4,160,A,0,1,89
120,97.3,130,A,0,1,115
120,47.0,110,A,1,1,95
140,47.2,130,A,0,1,83
120,121.1,160,A,0,1,137
140,49.2,240,A,0,1,101
150,148.8,200,A,0,1,184
140,61.4,110,A,1,1,105
120,100.3,200,A,1,1,138
120,129.4,200,A,0,1,151
150,55.6,240,A,0,1,97
140,49.0,160,A,0,1,90
140,148.4,130,A,0,1,172
140,108.4,240,A,0,1,148
140,75.1,160,A,1,1,122
160,144.6,200,A,0,1,187
150,22.7,200,A,0,1,59
120,114.7,90,A,0,1,138
140,68.5,90,A,1,1,106
140,117.7,130,A,0,1,151
140,23.9,130,A,0,1,69
150,123.1,160,A,0,1,164
140,139.0,160,A,0,1,175
150,85.4,110,A,1,1,135
160,73.5,240,A,0,1,100
150,137.0,200,A,1,1,170
140,73.5,110,A,0,1,115
160,138.2,160,A,0,1,169
120,45.8,160,A,1,1,78
150,128.8,160,A,1,1,174
140,97.3,200,A,1,1,135
140,66.4,240,A,0,1,99
150,148.2,160,A,0,1,184
140,142.5,280,A,0,1,177
140,115.5,200,A,0,1,153
160,98.7,130,A,0,1,146
160,31.6,160,A,1,1,90
150,69.5,200,A,0,1,126
120,142.9,200,A,0,1,179
150,66.7,160,A,0,1,110
150,27.6,320,A,1,1,76
150,33.1,240,A,0,1,75
160,142.8,110,A,0,1,180
150,81.5,160,A,0,1,125
140,135.5,130,A,0,1,170
140,57.8,130,A,0,1,105
140,58.0,240,A,1,1,92
150,96.5,160,A,0,1,138
140,43.7,160,A,0,1,89
150,48.8,240,A,1,1,92
150,55.4,90,A,1,1,102
120,137.9,200,A,1,1,167
160,89.1,240,A,0,1,134
140,93.3,110,A,0,1,136
140,119.7,240,A,1,1,148
150,26.7,130,A,0,1,81
120,120.9,240,A,1,1,145
160,102.2,200,A,0,1,149
140,56.3,160,A,1,1,101
140,79.6,160,A,0,1,111
150,113.9,280,A,0,1,159
160,30.4,160,A,1,1,77
140,62.7,200,A,0,1,93
150,55.3,240,A,0,1,91
140,128.0,200,A,0,1,164
140,75.6,160,A,0,1,115
140,50.5,200,A,0,1,87
150,96.1,200,A,0,1,131
150,44.4,200,A,1,1,88
120,90.2,130,A,0,1,115
140,137.8,320,A,0,1,167
150,30.3,130,A,0,1,84
120,45.1,130,A,1,1,80
160,136.6,90,A,0,1,183
160,93.8,280,A,0,1,135
120,94.9,160,A,0,1,123
140,138.9,280,A,0,1,171
160,93.7,110,A,0,1,128
160,97.7,160,A,0,1,142
120,23.9,160,A,0,1,63
140,118.7,130,A,0,1,148
140,133.1,110,A,0,1,166
140,47.9,200,A,0,1,84
160,41.7,280,A,1,1,88
120,118.6,110,A,0,1,140
120,73.0,160,A,0,1,95
140,50.5,160,A,0,1,92
120,83.5,160,A,0,1,111
150,37.4,130,A,0,1,98
160,73.7,280,A,0,1,121
120,149.9,130,A,1,1,183
140,149.7,200,A,1,1,187
150,72.4,240,A,0,1,126
140,114.8,110,A,1,1,156
120,131.7,160,A,1,1,164
140,139.8,130,A,0,1,169
140,64.1,160,A,1,1,111
120,27.2,160,A,1,1,73
150,28.2,200,A,0,1,83
160,114.9,160,A,1,1,156
140,112.1,200,A,0,1,145
160,132.2,160,A,0,1,165
150,91.0,240,A,0,1,133
140,74.6,160,A,0,1,113
120,119.3,240,A,0,1,150
140,144.5,200,A,0,1,172
120,112.2,200,A,0,1,143
150,77.2,240,A,0,1,111
120,128.8,240,A,1,1,148
120,72.7,160,A,0,1,109
150,99.3,160,A,0,1,135
120,123.5,160,A,1,1,157
140,149.7,240,A,0,1,169
140,28.8,90,A,0,1,74
140,66.2,200,A,0,1,99
120,71.2,240,A,1,1,97
140,33.7,280,A,1,1,77
140,29.8,160,A,0,1,80
140,48.1,160,A,0,1,95
140,114.2,240,A,0,1,143
160,80.4,240,A,0,1,124
120,83.3,130,A,1,1,116
140,102.3,110,A,0,1,126
120,52.5,130,A,0,1,84
120,62.0,160,A,1,1,91
120,116.2,240,A,1,1,140
140,134.8,110,A,0,1,171
150,134.4,160,A,0,1,160
140,119.1,160,A,1,1,151
140,90.7,130,A,0,1,124
120,33.3,90,A,0,1,70
140,99.1,130,A,0,1,137
160,36.5,130,A,0,1,88
140,118.6,110,A,0,1,156
140,136.3,200,A,0,1,165
140,68.0,280,A,1,1,113
160,134.9,320,A,0,1,170
140,95.9,240,A,0,1,137
150,149.5,130,A,0,1,175
140,133.7,110,A,0,1,177
150,75.7,160,A,0,1,108
150,132.5,110,A,1,1,176
160,80.1,160,A,1,1,115
150,32.1,90,A,0,1,74
160,137.9,130,A,1,1,175
150,50.8,280,A,0,1,98
150,35.6,280,A,1,1,90
160,128.9,160,A,0,1,163
120,135.6,160,A,1,1,159
150,136.5,90,A,1,1,180
140,104.5,110,A,1,1,142
160,104.7,200,A,1,1,146
150,36.4,90,A,0,1,92
150,133.8,160,A,0,1,170
160,145.1,200,A,0,1,186
150,55.4,160,A,1,1,105
150,55.6,160,A,0,1,99
140,130.7,110,A,0,1,162
160,66.6,200,A,1,1,109
150,96.8,160,A,1,1,150
120,91.7,240,A,1,1,124
140,35.8,160,A,1,1,90
120,136.1,160,A,0,1,166
150,124.4,160,A,0,1,161
160,102.9,160,A,1,1,149
140,146.4,280,A,0,1,175
140,118.6,110,A,0,1,150
140,65.6,240,A,0,1,106
140,106.3,160,A,0,1,137
120,23.7,200,A,0,1,64
140,52.2,110,A,0,1,112
140,22.1,160,A,0,1,63
120,113.8,160,A,0,1,146
150,148.1,130,A,1,1,180
150,141.8,110,A,1,1,185
160,106.7,240,A,1,1,141
150,21.9,200,A,0,1,74
150,116.2,90,A,0,1,153
160,119.9,280,A,0,1,163
160,146.9,160,A,1,1,179
140,27.0,130,A,1,1,64
150,127.0,110,A,0,1,156
140,28.0,160,A,0,1,65
150,39.5,160,A,1,1,92
120,88.8,240,A,1,1,132
120,144.8,90,A,0,1,177
140,69.0,160,A,1,1,114
140,136.3,200,A,0,1,158
140,149.8,280,A,0,1,177
150,85.6,240,A,1,1,130
140,43.9,200,A,1,1,89
140,46.2,280,A,0,1,84
140,120.0,110,A,0,1,154
140,20.1,110,A,0,1,59
160,29.5,110,A,1,1,86
160,95.3,280,A,0,1,144
150,62.9,110,A,0,1,106
160,138.4,90,A,0,1,174
140,65.7,160,A,0,1,116
150,79.1,160,A,0,1,118
160,121.5,200,A,1,1,169
150,31.1,130,A,0,1,78
140,86.9,200,A,0,1,122
140,67.2,200,A,0,1,110
150,120.4,200,A,0,1,149
150,147.7,90,A,1,1,190
150,29.2,280,A,0,1,79
120,129.2,130,A,1,1,158
140,72.0,160,A,0,1,112
150,134.6,90,A,1,1,187
150,36.9,160,A,0,1,79
150,102.0,90,A,0,1,143
140,89.5,130,A,0,1,119
120,104.5,280,A,0,1,123
160,130.2,160,A,0,1,173
160,64.0,160,A,0,1,104
120,91.6,110,A,0,1,130
150,148.8,110,A,0,1,200
150,103.2,240,A,0,1,149
120,65.1,160,A,1,1,94
150,40.9,110,A,0,1,87
160,46.9,200,A,1,1,98
160,135.6,130,A,0,1,175
150,126.7,110,A,0,1,153
120,87.9,280,A,0,1,123
140,35.6,200,A,0,1,76
160,127.4,130,A,1,1,153
150,91.2,280,A,0,1,124
140,30.1,280,A,0,1,72
150,78.8,160,A,0,1,111
140,143.6,130,A,1,1,184
140,133.8,240,A,0,1,159
120,125.6,110,A,0,1,153
140,73.6,240,A,0,1,107
160,72.2,110,A,0,1,119
160,136.7,110,A,1,1,171
140,103.2,160,A,0,1,151
140,102.1,200,A,0,1,144
140,128.5,160,A,1,1,161
150,33.2,90,A,0,1,80
150,40.2,110,A,0,1,74
140,44.6,130,A,1,1,87
150,107.8,200,A,0,1,138
140,25.1,200,A,0,1,71
150,47.7,110,A,0,1,108
160,28.2,90,A,1,1,90
140,94.0,200,A,0,1,128
120,28.6,130,A,0,1,71
140,125.4,110,A,1,1,164
150,128.9,160,A,0,1,164
150,138.5,200,A,1,1,167
150,120.3,90,A,0,1,165
140,95.6,110,A,0,1,128
140,131.9,280,A,1,1,160
150,120.2,280,A,1,1,150
140,40.7,240,A,1,1,84
140,114.6,90,A,0,1,147
140,60.1,110,A,1,1,104
140,75.3,90,A,1,1,122
150,76.9,90,A,0,1,118
160,26.2,280,A,0,1,69
120,105.8,130,A,0,1,136
140,128.5,110,A,0,1,163
120,40.4,240,A,1,1,72
150,130.3,280,A,0,1,170
120,25.7,110,A,0,1,59
140,94.6,130,A,0,1,136
120,66.8,130,A,0,1,95
150,93.3,280,A,0,1,142
120,131.3,110,A,1,1,154
150,112.0,200,A,0,1,149
160,61.5,110,A,0,1,104
120,96.4,240,A,0,1,127
150,45.6,130,A,1,1,106
120,94.1,160,A,0,1,125
120,134.6,200,A,0,1,168
140,53.6,130,A,1,1,105
150,101.3,90,A,0,1,144
160,72.9,200,A,0,1,123
120,61.2,160,A,1,1,91
140,69.5,240,A,0,1,105
150,30.2,320,A,0,1,71
150,124.5,200,A,0,1,169
120,77.5,160,A,0,1,110
140,32.6,280,A,1,1,90
160,96.0,240,A,0,1,138
150,142.2,160,A,0,1,178
140,146.0,200,A,1,1,167
150,65.1,240,A,1,1,104
150,90.6,110,A,0,1,132
150,98.2,160,A,0,1,130
150,87.3,160,A,0,1,127
140,71.5,240,A,0,1,115
160,148.6,160,A,1,1,187
140,108.5,160,A,1,1,150
150,127.1,130,A,0,1,156
140,54.1,90,A,0,1,102
150,71.4,110,A,0,1,125
160,53.7,90,A,0,1,110
140,45.0,240,A,0,1,92
140,121.8,200,A,1,1,166
140,145.8,90,A,1,1,184
160,140.7,320,A,0,1,184
140,139.4,110,A,1,1,170
120,105.9,160,A,1,1,128
150,100.2,130,A,1,1,136
150,99.6,160,A,1,1,148
120,119.0,160,A,1,1,144
150,93.0,130,A,0,1,127
150,119.6,90,A,0,1,162
140,98.6,200,A,0,1,139
150,141.7,90,A,1,1,179
150,126.9,130,A,0,1,148
120,74.2,160,A,0,1,102
150,60.7,110,A,1,1,108
150,23.9,110,A,0,1,73
120,114.7,280,A,1,1,144
160,77.3,160,A,0,1,133
150,136.5,160,A,1,1,177
140,94.6,280,A,0,1,121
140,135.4,200,A,0,1,160
140,43.7,90,A,0,1,79
150,141.1,200,A,0,1,175
120,114.7,130,A,1,1,142
150,65.6,160,A,1,1,108
140,61.8,90,A,1,1,106
150,148.5,240,A,0,1,168
120,124.6,240,A,0,1,149
150,97.3,130,A,0,1,142
140,147.1,160,A,1,1,175
140,84.8,200,A,0,1,126
140,149.8,130,A,1,1,175
160,146.2,240,A,0,1,187
160,87.2,240,A,0,1,129
140,21.1,200,A,0,1,60
160,41.8,160,A,0,1,75
150,20.6,130,A,0,1,62
150,136.7,130,A,0,1,166
160,134.5,200,A,0,1,164
150,107.1,240,A,0,1,142
150,43.1,200,A,0,1,82
140,48.7,110,A,0,1,93
120,118.9,90,A,0,1,155
140,139.3,160,A,0,1,176
140,115.2,320,A,1,1,149
140,47.8,160,A,0,1,87
140,86.6,200,A,0,1,126
150,35.6,130,A,0,1,76
160,124.2,240,A,1,1,163
120,108.4,200,A,0,1,143
160,27.4,90,A,1,1,83
160,39.8,240,A,0,1,79
120,141.1,200,A,1,1,177
120,85.7,160,A,0,1,117
150,69.2,240,A,0,1,110
150,144.0,130,A,0,1,176
140,60.3,240,A,0,1,102
160,102.3,90,A,1,1,146
150,70.4,240,A,0,1,108
120,41.6,90,A,0,1,78
160,138.6,130,A,0,1,181
140,84.6,160,A,0,1,108
120,110.0,130,A,1,1,135
150,132.7,90,A,0,1,175
140,136.5,160,A,0,1,171
120,139.7,200,A,0,1,160
150,127.4,240,A,1,1,176
120,143.8,160,A,0,1,163
150,46.6,240,A,0,1,89
120,81.8,160,A,1,1,111
150,75.4,160,A,1,1,114
120,111.6,160,A,0,1,128
140,143.1,130,A,1,1,176
140,77.1,90,A,1,1,122
140,95.5,160,A,0,1,133
140,115.5,90,A,1,1,146
160,27.5,110,A,0,1,93
150,122.5,160,A,0,1,169
120,94.9,240,A,0,1,116
140,107.8,200,A,1,1,159
150,115.3,160,A,0,1,160
160,77.0,160,A,0,1,126
150,50.4,160,A,0,1,104
140,56.6,160,A,0,1,95
150,114.3,130,A,0,1,150
140,34.3,160,A,0,1,80
140,111.3,240,A,1,1,146
150,68.6,160,A,0,1,115
120,79.1,200,A,0,1,110
120,146.1,130,A,0,1,178
140,132.0,130,A,0,1,167
120,78.3,110,A,0,1,113
140,136.8,160,A,1,1,165
150,97.5,110,A,0,1,122
150,90.1,160,A,0,1,128
140,97.6,280,A,1,1,121
150,20.0,110,A,1,1,72
140,83.9,160,A,1,1,112
140,121.2,130,A,0,1,161
150,124.0,160,A,0,1,167
140,49.7,240,A,0,1,93
140,32.3,90,A,1,1,75
140,130.5,240,A,0,1,143
150,132.9,90,A,0,1,167
140,51.9,160,A,0,1,98
150,98.8,90,A,0,1,131
150,88.7,130,A,1,1,134
150,33.8,320,A,0,1,79
140,26.9,130,A,0,1,75
160,28.8,90,A,1,1,80
140,106.9,240,A,0,1,136
150,63.9,130,A,0,1,111
160,85.3,320,A,1,1,137
140,106.0,320,A,0,1,135
140,139.3,240,A,0,1,171
150,125.7,200,A,0,1,169
140,142.5,130,A,0,1,179
150,32.2,280,A,0,1,70
150,100.4,320,A,0,1,133
150,100.3,280,A,0,1,143
150,65.9,320,A,1,1,113
150,106.9,320,A,0,1,142
140,133.5,280,A,0,1,166
150,45.9,160,A,0,1,89
150,37.8,160,A,1,1,84
150,93.7,280,A,0,1,136
140,123.4,280,A,0,1,151
160,49.3,130,A,0,1,103
140,39.8,160,A,1,1,94
140,87.2,160,A,0,1,122
150,48.0,130,A,0,1,100
150,142.6,240,A,1,1,178
140,126.3,200,A,0,1,151
140,95.4,200,A,0,1,129
150,25.0,160,A,1,1,80
120,64.1,280,A,1,1,102
120,60.7,160,A,0,1,90
120,63.9,160,A,0,1,103
140,55.4,320,A,0,1,91
140,82.5,160,A,0,1,120
150,58.6,130,A,1,1,114
120,96.8,130,A,1,1,140
140,131.2,160,A,0,1,157
150,105.2,280,A,0,1,146
140,147.8,160,A,1,1,196
140,34.0,200,A,0,1,75
150,127.9,200,A,0,1,160
140,67.8,110,A,0,1,101
150,48.8,130,A,0,1,95
140,138.0,130,A,0,1,178
150,28.3,240,A,1,1,82
150,102.2,160,A,0,1,135
160,96.4,110,A,1,1,145
150,149.2,160,A,0,1,182
120,59.1,200,A,0,1,102
150,37.1,240,A,1,1,75
140,88.3,200,A,0,1,125
120,145.4,240,A,0,1,154
140,47.3,200,A,0,1,93
150,101.2,160,A,1,1,136
160,102.9,90,A,0,1,142
150,37.4,110,A,1,1,86
120,102.2,200,A,0,1,128
160,96.7,110,A,0,1,145
120,67.6,160,A,0,1,99
150,103.2,280,A,0,1,149
140,134.2,130,A,0,1,172
140,94.9,130,A,0,1,131
160,34.9,90,A,0,1,85
140,120.8,90,A,1,1,163
150,145.6,200,A,0,1,167
140,24.2,160,A,0,1,73
140,75.6,110,A,0,1,115
150,144.8,160,A,0,1,178
160,138.5,280,A,0,1,179
150,116.5,240,A,0,1,158
140,49.1,110,A,1,1,87
140,72.3,110,A,0,1,116
140,120.5,130,A,1,1,156
140,109.5,200,A,0,1,150
120,73.9,160,A,0,1,111
140,51.3,200,A,0,1,83
160,84.2,200,A,0,1,131
140,70.2,130,A,0,1,106
160,148.8,160,A,0,1,188
150,23.8,160,A,0,1,67
120,94.9,160,A,0,1,121
150,37.2,280,A,0,1,82
140,113.6,280,A,1,1,146
140,115.5,240,A,0,1,148
150,35.6,240,A,0,1,72
150,34.5,200,A,1,1,82
160,55.6,240,A,0,1,100
150,100.4,90,A,0,1,144
140,105.7,160,A,0,1,130
140,62.2,280,A,1,1,104
120,120.8,110,A,1,1,161
120,39.3,130,A,0,1,74
160,55.2,200,A,0,1,104
120,85.9,110,A,0,1,126
140,139.3,280,A,1,1,166
160,110.5,110,A,1,1,155
140,124.0,160,A,1,1,149
120,137.7,200,A,0,1,162
160,64.6,160,A,1,1,114
120,27.1,160,A,0,1,61
140,136.0,90,A,0,1,169
120,23.1,200,A,0,1,65
150,70.8,130,A,0,1,108
150,100.8,160,A,1,1,146
150,90.3,240,A,0,1,123
140,47.3,130,A,0,1,81
140,29.2,160,A,0,1,75
150,60.9,110,A,0,1,105
120,136.2,130,A,0,1,166
150,83.5,160,A,1,1,134
140,110.5,160,A,0,1,150
150,29.4,130,A,0,1,78
120,96.6,160,A,0,1,129
150,89.1,130,A,0,1,137
140,35.0,110,A,0,1,82
160,149.3,130,A,0,1,190
150,66.4,200,A,0,1,113
150,51.7,160,A,1,1,99
150,77.2,240,A,0,1,110
140,40.0,110,A,1,1,86
150,95.2,160,A,0,1,133
140,55.3,200,A,0,1,90
140,150.0,110,A,1,1,182
150,140.1,160,A,0,1,164
120,138.0,160,A,0,1,171
160,35.6,160,A,0,1,99
160,57.1,200,A,1,1,110
160,119.1,200,A,1,1,156
150,141.9,240,A,0,1,181
150,26.2,240,A,0,1,68
160,124.9,160,A,0,1,171
140,45.5,90,A,0,1,93
150,49.5,320,A,1,1,96
140,50.4,110,A,1,1,97
140,140.1,200,A,0,1,171
140,49.0,280,A,0,1,95
120,62.6,200,A,0,1,86
140,128.4,160,A,0,1,168
160,134.3,160,A,0,1,174
150,26.7,160,A,0,1,73
150,143.6,110,A,0,1,174
140,35.0,130,A,0,1,78
140,124.6,110,A,1,1,162
150,25.0,130,A,0,1,80
140,93.1,90,A,0,1,123
150,60.5,160,A,1,1,107
140,32.5,200,A,1,1,77
160,90.1,240,A,0,1,138
140,96.7,160,A,0,1,127
140,126.6,160,A,1,1,166
150,83.0,160,A,1,1,127
120,82.0,200,A,0,1,113
150,117.9,130,A,0,1,147
150,121.7,200,A,0,1,157
140,30.4,130,A,0,1,69
140,73.1,160,A,0,1,99
120,33.4,200,A,0,1,69
120,96.3,110,A,0,1,128
150,88.4,110,A,0,1,132
140,65.4,110,A,0,1,99
150,134.7,280,A,0,1,171
120,32.6,200,A,0,1,64
120,89.2,90,A,0,1,120
140,80.1,110,A,0,1,113
140,26.2,280,A,0,1,59
120,81.1,280,A,0,1,105
120,130.3,280,A,1,1,152
140,21.7,160,A,0,1,71
140,131.0,130,A,1,1,174
140,65.2,200,A,1,1,117
120,116.1,160,A,0,1,146
150,44.7,240,A,0,1,81
160,117.5,240,A,0,1,160
150,74.9,160,A,0,1,108
120,68.9,90,A,1,1,100
140,85.8,160,A,1,1,118
140,115.4,160,A,0,1,148
150,114.5,160,A,1,1,163
140,115.6,200,A,0,1,144
150,75.4,240,A,0,1,121
160,70.4,200,A,0,1,111
150,38.3,90,A,1,1,94
120,133.8,160,A,0,1,157
160,130.7,90,A,0,1,177
150,127.1,200,A,0,1,171
140,116.7,160,A,0,1,146
140,32.0,110,A,1,1,82
140,62.8,110,A,1,1,105
120,142.5,130,A,1,1,167
140,52.0,130,A,0,1,95
140,121.9,130,A,0,1,150
140,105.0,130,A,0,1,130
150,25.2,160,A,0,1,64
160,61.8,280,A,1,1,112
120,63.2,90,A,0,1,84
150,49.4,280,A,1,1,92
150,101.5,130,A,1,1,143
160,68.1,110,A,1,1,122
160,82.7,160,A,0,1,134
160,133.9,110,A,0,1,172
140,47.3,160,A,0,1,91
120,29.1,280,A,0,1,70
140,124.2,280,A,0,1,158
150,123.3,200,A,0,1,154
140,122.3,160,A,0,1,157
120,104.1,240,A,0,1,119
160,119.6,200,A,0,1,160
140,131.1,110,A,0,1,161
150,57.5,130,A,0,1,106
150,101.1,200,A,0,1,130
150,106.3,240,A,1,1,146
140,24.9,160,A,0,1,76
140,137.8,320,A,0,1,170
150,146.1,90,A,0,1,182
160,113.8,240,A,0,1,154
120,38.4,200,A,1,1,92
120,131.1,110,A,1,1,159
140,67.7,90,A,0,1,104
150,60.1,200,A,0,1,113
140,46.0,160,A,0,1,89
150,71.2,160,A,0,1,110
120,147.0,240,A,0,1,160
140,101.4,110,A,0,1,141
150,46.2,130,A,1,1,94
120,145.6,160,A,0,1,177
140,46.7,110,A,0,1,82
150,123.7,280,A,0,1,149
150,44.8,90,A,0,1,85
